timestamp,model,pretrained_weights,optimizer,learning_rate,batch_size,num_epochs,weight_decay,dropout,scheduler,data_augmentation,best_val_acc,training_time_s
1773854727,resnet18,IMAGENET1K_V1,SGD,0.01,32,40,0.0001,0,None,RandomCrop+HorizontalFlip+Normalize,0.831408,5046.79
1773860089,resnet18,IMAGENET1K_V1,SGD,0.01,64,40,0.0001,0,None,RandomCrop+HorizontalFlip+Normalize,0.833822,5147.42
1773951309,resnet18,IMAGENET1K_V1,SGD,0.1,32,40,0.0001,0,None,RandomCrop+HorizontalFlip+Normalize,0.74959,4597.51
1773956425,resnet18,IMAGENET1K_V1,SGD,0.001,32,40,0.0001,0,None,RandomCrop+HorizontalFlip+Normalize,0.837233,4560.68
1774127730,resnet18,IMAGENET1K_V1,SGD,0.01,32,40,0.0001,0.5,None,RandomCrop+HorizontalFlip+Normalize,0.829107,5190.8
1774215986,resnet18,IMAGENET1K_V1,SGD,0.01,32,40,0.01,0,None,RandomCrop+HorizontalFlip+Normalize,0.540462,5469.76
1774114136,resnet18,IMAGENET1K_V1,SGD,0.01,128,40,0.0001,0,None,RandomCrop+HorizontalFlip+Normalize,0.833286,4597.16
1774123761,resnet18,IMAGENET1K_V1,SGD,0.01,32,40,0.0001,0.3,None,RandomCrop+HorizontalFlip+Normalize,0.827784,4545.52
1774208490,resnet18,IMAGENET1K_V1,SGD,0.01,32,40,0.001,0,None,RandomCrop+HorizontalFlip+Normalize,0.769836,5248.91
1774296348,resnet18,IMAGENET1K_V1,SGD,0.01,32,15,0.0001,0,None,advanced,0.79923,2315.73
1773612545,resnet18,IMAGENET1K_V1,SGD,0.01,32,15,0.0001,0,None,None,,
